PHONE_NUMBER,PUK_LAST_4,FULL_NAME,CNE
0665718536,0832,QZNXE UTKAW,IG17898
0665719916,1736,HHDJH NEIKP,SB67202
0665723526,1719,LZPUG GCFJW,VD57613
0665760720,1548,OGHEF YYMJU,PQ17865
0665775300,0526,DBTUJ GXGAJ,FU59211
0665777810,4533,QGAQT RPOPM,VR91545
0665787790,6470,QIFDX SWPDG,CJ93288
0665790870 ,9622,SFAXA SARRN,DM07029
0665792810,6682,KPTAY WXMHT,CZ40366
0665609454,2433,AASON MVLKL,FL58135
0665621893,1284,JFNIM LVXKK,YR77395
0665644688,6914,ADPZJ LURDS,OV87995
0665644825,3547,SBAOD IHCRY,HS40360
0665647977,4148,KFPBA VRZVD,RZ48329
0665648071,9703,TAGI Z IQXAD,GV85045
0665651575,3130,VVYJM RPNZK,JJ58666
0665657815,1298,IRONG XFRUM,CS66416
0665702612,2221,LUGRD RRHNJ,YR35405
0665703976,3143,AUECN VQULQ,YE92815
0665710842,8733,AEREL FBRQT,TH39250
0665712666,8273,EIVCA CWEYJ,WT96930
0665721736,4682,MSVDE YKADA,VE67134
0665786050,0359,WJOJP YJAMH,JV74378
0665460153,3007,QUYVZ RXJLX,UP31675
0665460413,8300,NQOVA BTVZC,CB69844
0665460563,1540,QLZTQ QBLQK,EW40984
0665460583,7544,ZPKFB IJTTH,LT81955
0665460663,7496,GEZQX CXYFY,HF86202
0665460683,2751,KKRYM IHOZC,OO98577
0665461769,1672,OGIEO XDPPZ,DO52824
0665461979,0237,OIZZK QYHXT,OK35305
0665462563,4470,LDPIB ETFIO,AH97220
0665463739,1144,MKABN OGDPV,HP98153
0665464489,8220,QWDUG MCCHG,EJ78814
0665464729,1514,ADZNQ FFASU,RS26811
0665465709,0533,QUQIR WQQNZ,QL12581
0665465929,7133,UYZMX MNQAF,GS16032
0665471001,8496,IIOEX WDJUQ,OQ95485
0665471771,7216,XVLTY HJBLM,XG04948
0665472981,5154,SUDYY SZKMA,HA37826
0665473111,0137,VPQYU DSHKI,EI16260
0665473941,8151,MJGHB NATDD,EE44831
0665473981,3813,LALZO DOKDL,JK02501
0665476424,8355,LQROV DRMWL,LQ70146
0665476884,8673,ASUVT VAAUJ,YU31268
0665477044,0596,IUJXI WTNCH,FU44748
0665477054,1530,RICSH KXFAF,CW94071
0665477284,2057,DWDQY AUZAG,EO80446
0665478184,1714,RTXRE HYIUU,DC86358
0665478354,7963,RYPRU JRTQK,YT32496
0665482478,8824,RPEDM LIDHW,ZP78159
0665482508,1338,QDSGK TIWJX,QA66464
0665482768,1789,KRJMN NWIIP,GS47789
0665482938,6442,KQRYW IBEWF,SA79366
0665483198,0964,OLCGG ESDUK,HT22449
0665483368,5338,KNMCU WLRAU,FT84984
0665484478,1081,ARGBN NNVJI,WZ05598
0665491735,6660,KMFFC PILNV,AJ57312
0665493295,7830,WGQXA DPKVW,SL49634
0665493515,6009,VGVJO RRPAG,GO79782
0665493745,2068,WQVPO GIFLY,QE26385
0665493803,1302,HNISF SQJNF,FF05749
0665493993,5590,TATSQ UHPIO,QD77031
0665494263,8122,BNKJM LEVJR,WV30224
0665494563,1127,HRCZX UHSVU,IM65753
0665494583,1589,DXELN RAWMH,JO95337
0665494585,0830,FGNIW WCFON,XG03422
0665494693,7977,DQKBY JGEXW,XR43716
0665494793,9208,BJZJP HVTGX,ZA73947
0665495055,2346,RPUJB MCUOU,ZL09616
0665495195,7976,JCDHA XQXLZ,IA96937
0665495583,3956,QQJQF BFEVY,GQ29000
0665495703,7766,CEFXU UAOIS,OX06590
0665496793,4210,NUWKA IUSTQ,RQ28987
0665496983,9383,BQKSP ZSTKW,UP29274
0665497193,5522,WFXXY JANYF,PR45775
0665497319,3580,ELVFF HRMCA,UQ69589
0665497503,9889,TIHQQ RAIBK,SO89802
0665497589,8359,UTUDJ PVAGA,GH50584
0665497619,6300,HZDJO OBAXY,HK54701
0665497833,5060,INHWA TGNBL,AI81262
0665497863,7240,TRCPL WBZCE,GO10531
0665497889,6714,BFRSV HUFAH,IL29446
0665498109,3328,ZIIBG ATHSV,OV48769
0665498113,3587,XQDOE TCKJA,ZR35412
0665498739,7447,GNLKO IDFUM,IT82828
0665499443,7856,QEZCW KIKNI,NN73743
0665499639,8731,AFQPB IGQUW,EE43027
0665499773,9281,QTHJA GNHHN,TO23250
0665499793,1168,XNVKE YWSKX,WB40205
0665499859,2651,JXXNS GYANA,VM41997
0665600089,0456,ZLFMJ MJMOS,FA00320
0665600163,1704,VVOJH GTNNU,MA77744
0665600183,5361,GMDDH VLMAB,WE40503
0665600239,4947,PIMLU EQQYJ,LC29328
0665600319,2863,CYVHD IECUK,XG31716
0665600797,2261,ACZIX DCRLT,QS93278
0665601013,6427,YEPXP ZAMHM,UV28875
0665601179,0285,GJVVI BWGQR,XQ27872
0665601197,1717,MODRK ZXSPL,OZ85148
